wikidata_qid,imdb_id,tmdb_type,tmdb_id,trakt_type,trakt_id,plex_type,plex_id,appletv_id,rottentomatoes_id,title,year,director,duration,tomatometer
Q20475,tt0055630,movie,11878,movie,6899,movie,5d7768376f4521001ea9c9a3,umc.cmc.5h8oqlf7pi0camwsxr2j3hoyu,m/yojimbo,Yojimbo,1961,"Akira Kurosawa",110,95
Q22432,tt0286106,movie,2675,movie,1805,movie,5d77682ceb5d26001f1deb02,umc.cmc.2vj4vibsrb38cvi5nojt2morx,m/signs,Signs,2002,"M. Night Shyamalan",102,74
Q23395,tt0120669,movie,1878,movie,1254,movie,5d77682a5af944001f1f7700,umc.cmc.695vifh6yejdzhv6zkqr8qicj,m/fear_and_loathing_in_las_vegas,"Fear and Loathing in Las Vegas",1998,"Terry Gilliam",118,50
Q23536,tt1492966,tv,32962,show,32820,show,5d9c07f7ef619b002047ba63,umc.cmc.16nxl8fe1gixo18qul1dc6w5h,tv/louie,Louie,,"Louis C.K.",23,
Q23558,tt0412142,tv,1408,show,1399,show,5d9c086c02391c001f5891b7,umc.cmc.6gl26cm39n9xg6r2sd565mte8,tv/house,House,,,43,
Q23567,tt0411008,tv,4607,show,4583,show,5d9c086fe9d5a1001f4d9fe6,umc.cmc.224vt3dmosi0331a2yc8ny3l8,tv/lost,Lost,,,42,
Q23572,tt0944947,tv,1399,show,1390,show,5d9c086c46115600200aa2fe,umc.cmc.7htjb4sh74ynzxavta5boxuzq,tv/game_of_thrones,"Game of Thrones",,,,
Q23577,tt0773262,tv,1405,show,1396,show,5d9c086c46115600200aa2ea,umc.cmc.2w8cp3aur89y8id4cfk2engfu,tv/dexter,Dexter,2007,,,
Q23594,tt1796960,tv,1407,show,1398,show,5d9c086c46115600200aa30a,umc.cmc.1n193s6qu86552u7opuewg19d,tv/homeland,Homeland,,,55,
Q23599,tt1586680,tv,34307,show,34160,show,5d9c07f80aaccd001f8ebf28,umc.cmc.699yz0ndcm42cxcwcbzkb6dng,tv/shameless,Shameless,,"John Wells",57,
Q23628,tt0141842,tv,1398,show,1389,show,5d9c086c46115600200aa302,umc.cmc.7fvpbc4pqotnxhpx36c739tyd,tv/the-sopranos,"The Sopranos",,"Tim Van Patten",,
Q23670,tt0472954,tv,2710,show,2692,show,5d9c0875170e24001f2ab27e,umc.cmc.ukor9ll2s04re94sh7689z5y,tv/it_s_always_sunny_in_philadelphia,"It's Always Sunny in Philadelphia",,,23,
Q23722,tt0264235,tv,4546,show,4522,show,5d9c086b4eefaa001f5dcd8b,umc.cmc.4koxxcdkbia1pne6zkt72mhva,tv/curb_your_enthusiasm,"Curb Your Enthusiasm",,,30,
Q23733,tt0098904,tv,1400,show,1391,show,5d9c086c46115600200aa30e,umc.cmc.7wi0fpx37shx0bfxau56ufps,tv/seinfeld,Seinfeld,,,23,
Q23829,tt0290978,tv,2996,show,2976,show,5d9c08762192ba001f311efc,,tv/the_office_2001,"The Office",,,,
Q23831,tt0386676,tv,2316,show,2302,show,5d9c0873ef619b002047fda0,umc.cmc.455js879szmdywutf3qjewagm,tv/the_office,"The Office",,,,
Q24815,tt0033467,movie,15,movie,11,movie,5d776824f59e580021897863,umc.cmc.42bh02qjj9pwomt79n7ci0g6e,m/citizen_kane,"Citizen Kane",1941,"Orson Welles",119,99
Q24871,tt0499549,movie,19995,movie,12269,movie,5d776d057a53e9001e74ed5d,umc.cmc.1hmaf5hccvdvn71dc5hr7mgcj,m/avatar,Avatar,2009,"James Cameron",162,82
